,A,,B,,C,,D
308.4008278,129.9507581,308.4008278,132.224294,308.4008278,390.01655,308.4008278,389.0175341
308.772059,138.0606398,308.772059,123.4016633,308.772059,390.02129,308.772059,384.5027558
309.1432599,137.109479,309.1432599,135.3288447,309.1432599,385.74721,309.1432599,391.4084995
309.5144305,124.9390243,309.5144305,139.1361774,309.5144305,380.96731,309.5144305,381.6333545
309.8855709,130.4303148,309.8855709,147.9656309,309.8855709,379.55762,309.8855709,388.3115107
310.2566809,139.2647131,310.2566809,143.6845454,310.2566809,387.43687,310.2566809,399.2829284
310.6277605,131.1513086,310.6277605,145.3488101,310.6277605,381.00072,310.6277605,395.2257742
310.9988099,116.5943572,310.9988099,132.4624454,310.9988099,371.46096,310.9988099,381.8805231
311.3698288,118.9762601,311.3698288,129.5971243,311.3698288,364.07596,311.3698288,389.0061752
311.7408174,134.0105754,311.7408174,137.476504,311.7408174,375.75958,311.7408174,395.931642
312.1117756,127.329907,312.1117756,140.5735215,312.1117756,377.6545,312.1117756,390.6901537
312.4827033,115.8767887,312.4827033,141.7602176,312.4827033,365.98282,312.4827033,379.4952537
312.8536006,113.0134391,312.8536006,148.6736061,312.8536006,371.451,312.8536006,378.0642877
313.2244675,120.4123595,313.2244675,145.3416088,313.2244675,375.98649,313.2244675,376.1768048
313.5953038,128.7605574,313.5953038,144.1500617,313.5953038,376.70201,313.5953038,369.9931689
313.9661097,120.4054916,313.9661097,139.133766,313.9661097,367.40132,313.9661097,373.5390066
314.3368851,117.3023446,314.3368851,139.6075599,314.3368851,358.5907,314.3368851,369.0109558
314.7076299,122.7928821,314.7076299,139.3749788,314.7076299,367.40848,314.7076299,366.409272
315.0783442,125.1812396,315.0783442,143.4325631,315.0783442,369.55953,315.0783442,369.9877581
315.449028,122.3252926,315.449028,146.3012052,315.449028,372.90835,315.449028,365.4852563
315.8196812,117.0716821,315.8196812,141.2861116,315.8196812,364.56245,315.8196812,362.8494209
316.1903037,116.5984081,316.1903037,132.2285552,316.1903037,361.71885,316.1903037,366.667738
316.5608957,125.906101,316.5608957,135.5733754,316.5608957,359.83118,316.5608957,369.7768998
316.931457,128.2896171,316.931457,125.0776976,316.931457,356.01959,316.931457,368.3448517
317.3019877,123.7560748,317.3019877,129.1304087,317.3019877,355.77643,317.3019877,372.8598636
317.6724877,125.6728915,317.6724877,136.2945911,317.6724877,361.27385,317.6724877,379.3091377
318.0429571,137.8461066,318.0429571,142.504894,318.0429571,368.67446,318.0429571,389.0886395
318.4133957,144.7644529,318.4133957,153.7155951,318.4133957,367.48919,318.4133957,388.3796661
318.7838037,145.0087111,318.7838037,154.6756291,318.7838037,372.97664,318.7838037,402.9067086
319.1541808,155.2685072,319.1541808,159.449885,319.1541808,380.36408,319.1541808,401.2532676
319.5245273,159.0834304,319.5245273,153.725517,319.5245273,385.12094,319.5245273,398.8723615
319.894843,152.6382947,319.894843,151.8115513,319.894843,379.63355,319.894843,393.623104
320.2651279,159.5556293,320.2651279,162.782843,320.2651279,382.49246,320.2651279,397.433326
320.635382,152.397542,320.635382,167.3093306,320.635382,385.57608,320.635382,399.3267202
321.0056052,149.3057843,321.0056052,182.5789016,321.0056052,386.31153,321.0056052,410.2917957
321.3757977,137.6079379,321.3757977,170.1672325,321.3757977,381.52396,321.3757977,400.2704433
321.7459593,135.9349676,321.7459593,172.7856631,321.7459593,382.46631,321.7459593,401.9257735
