,A,,B,,C,,D
331.3592745,259.3749106,331.3592745,826.50009,331.3592745,247.0499757,331.3592745,857.3880025
331.7285965,269.6293338,331.7285965,833.64058,331.7285965,253.7315146,331.7285965,873.2899159
332.0978872,270.5861683,332.0978872,839.33792,332.0978872,258.023708,332.0978872,883.2479754
332.4671465,274.8650732,332.4671465,843.33898,332.4671465,255.8713096,332.4671465,887.2460979
332.8363745,275.1127508,332.8363745,842.6563,332.8363745,262.789068,332.8363745,893.4315951
333.2055711,270.0917842,333.2055711,836.91547,333.2055711,250.8595024,333.2055711,878.456018
333.5747362,277.2592647,333.5747362,842.4274,333.5747362,266.1268613,333.5747362,885.1527409
333.94387,283.4557017,333.94387,834.85673,333.94387,264.9389969,333.94387,881.3744656
334.3129723,274.4022024,334.3129723,830.11264,334.3129723,267.0810721,334.3129723,887.9983676
334.6820431,270.1077486,334.6820431,824.17009,334.6820431,257.5453187,334.6820431,890.5819218
335.0510825,277.0203844,335.0510825,840.29343,335.0510825,254.6907854,335.0510825,895.5688342
335.4200904,276.2908211,335.4200904,835.51199,335.4200904,248.482557,335.4200904,882.9736387
335.7890667,258.3952828,335.7890667,827.83916,335.7890667,238.9242395,335.7890667,871.2739926
336.1580116,253.8599529,336.1580116,832.31025,336.1580116,241.0595605,336.1580116,858.4565521
336.5269249,249.3376315,336.5269249,832.79579,336.5269249,253.6890139,336.5269249,856.1006213
336.8958066,244.3228645,336.8958066,830.62471,336.8958066,244.1481695,336.8958066,854.402582
337.2646568,245.0550159,337.2646568,837.31393,337.2646568,254.8856971,337.2646568,875.7727692
337.6334754,229.542495,337.6334754,826.56484,337.6334754,242.47047,337.6334754,866.6809858
338.0022623,229.5549315,338.0022623,842.00323,338.0022623,245.5805042,338.0022623,878.5642889
338.3710176,231.9289239,338.3710176,848.84117,338.3710176,243.6657322,338.3710176,862.906864
338.7397413,223.5812062,338.7397413,853.54508,338.7397413,246.276385,338.7397413,866.1890758
339.1084333,213.803298,339.1084333,844.03909,339.1084333,241.2639657,339.1084333,864.7338441
339.4770937,199.9787673,339.4770937,835.97164,339.4770937,240.5446261,339.4770937,862.3499787
339.8457223,203.0820985,339.8457223,836.94063,339.8457223,240.7893344,339.8457223,864.5031935
340.2143192,210.2364452,340.2143192,849.03991,340.2143192,243.654348,340.2143192,876.8367664
340.5828844,211.9065215,340.5828844,854.25747,340.5828844,244.8477737,340.5828844,883.7103127
340.9514178,214.2993697,340.9514178,859.50528,340.9514178,247.9559664,340.9514178,886.1171834
341.3199195,221.9166832,341.3199195,858.76655,341.3199195,251.7585557,341.3199195,878.0390644
341.6883894,232.413996,341.6883894,873.02411,341.6883894,260.1108562,341.6883894,893.0052914
342.0568275,226.4452464,342.0568275,874.63611,342.0568275,257.7150429,342.0568275,905.5039546
342.4252337,228.3681318,342.4252337,884.87843,342.4252337,264.8796483,342.4252337,935.8609246
342.7936081,247.9315093,342.7936081,906.2793,342.7936081,275.1512089,342.7936081,951.8146021
343.1619507,259.1430718,343.1619507,927.39555,343.1619507,288.5046587,343.1619507,967.7192132
343.5302614,265.3355795,343.5302614,945.851,343.5302614,288.2650801,343.5302614,977.8878021
343.8985402,272.7226547,343.8985402,954.85207,343.8985402,295.650662,343.8985402,995.8752155
344.2667871,276.7787778,344.2667871,963.1563,344.2667871,299.4682577,344.2667871,1005.359801
344.6350021,274.8664267,344.6350021,974.25366,344.6350021,293.507341,344.6350021,1007.228343
345.0031851,298.4565891,345.0031851,991.79664,345.0031851,306.3786169,345.0031851,1021.929318
345.3713362,297.017473,345.3713362,996.96795,345.3713362,296.3665493,345.3713362,1033.955625
345.7394553,301.8009776,345.7394553,1006.25846,345.7394553,294.0053369,345.7394553,1048.919846
346.1075424,295.3584546,346.1075424,1001.48784,346.1075424,293.9930382,346.1075424,1034.691611
